gender,age,Investment_Avenues,Mutual_Funds,Equity_Market,Debentures,Government_Bonds,Fixed_Deposits,PPF,Gold,Stock_Market,Factor,Objective,Purpose,Duration,Invest_Monitor,Expect,Avenue,What are your savings objectives?,Reason_Equity,Reason_Mutual,Reason_Bonds,Reason_FD,Source,has_duplicate_ranks,age_group,risk_score,risk_category,engagement_score,top_3_avenues,first_choice,second_choice,third_choice,expected_return_numeric,duration_category,risk_return_alignment
Male,25,Yes,2,4,6,5,3,1,7,Yes,Risk,Growth,Savings for Future,3-5 years,Weekly,20%-30%,Public Provident Fund,Health Care,Liquidity,Better Returns,Assured Returns,Risk Free,Financial Consultants,False,18-25,6,Moderate,2,"['PPF', 'Mutual_Funds', 'Fixed_Deposits']",PPF,Mutual_Funds,Fixed_Deposits,25,Medium-term,Aligned
Female,26,Yes,2,3,7,5,4,1,6,Yes,Returns,Capital Appreciation,Wealth Creation,3-5 years,Monthly,30%-40%,Public Provident Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Newspapers and Magazines,False,26-30,7,Aggressive,1,"['PPF', 'Mutual_Funds', 'Equity']",PPF,Mutual_Funds,Equity,35,Medium-term,Aligned
Female,32,Yes,3,4,7,5,1,2,6,Yes,Risk,Growth,Wealth Creation,3-5 years,Monthly,20%-30%,Mutual Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Fixed Returns,Financial Consultants,False,31-35,6,Moderate,1,"['Fixed_Deposits', 'PPF', 'Mutual_Funds']",Fixed_Deposits,PPF,Mutual_Funds,25,Medium-term,Aligned
Male,26,Yes,3,4,6,5,1,2,7,Yes,Returns,Capital Appreciation,Wealth Creation,3-5 years,Monthly,20%-30%,Mutual Fund,Retirement Plan,Dividend,Fund Diversification,Assured Returns,Fixed Returns,Financial Consultants,False,26-30,6,Moderate,1,"['Fixed_Deposits', 'PPF', 'Mutual_Funds']",Fixed_Deposits,PPF,Mutual_Funds,25,Medium-term,Aligned
Male,31,Yes,2,3,7,6,4,1,5,Yes,Risk,Growth,Savings for Future,1-3 years,Monthly,20%-30%,Fixed Deposits,Health Care,Capital Appreciation,Fund Diversification,Safe Investment,Fixed Returns,Television,False,31-35,7,Aggressive,1,"['PPF', 'Mutual_Funds', 'Equity']",PPF,Mutual_Funds,Equity,25,Medium-term,Misaligned
Male,29,Yes,2,3,6,5,1,4,7,Yes,Returns,Capital Appreciation,Wealth Creation,1-3 years,Monthly,20%-30%,Equity,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Television,False,26-30,7,Aggressive,1,"['Fixed_Deposits', 'Mutual_Funds', 'Equity']",Fixed_Deposits,Mutual_Funds,Equity,25,Medium-term,Misaligned
Female,34,Yes,5,4,3,2,7,1,6,Yes,Returns,Income,Returns,3-5 years,Monthly,10%-20%,Mutual Fund,Retirement Plan,Capital Appreciation,Tax Benefits,Safe Investment,Fixed Returns,Newspapers and Magazines,False,31-35,6,Moderate,1,"['PPF', 'Gov_Bonds', 'Debentures']",PPF,Gov_Bonds,Debentures,15,Medium-term,Misaligned
Male,27,Yes,4,5,1,2,7,3,6,No,Returns,Growth,Wealth Creation,1-3 years,Monthly,10%-20%,Mutual Fund,Education,Capital Appreciation,Tax Benefits,Safe Investment,Fixed Returns,Television,False,26-30,3,Conservative,1,"['Debentures', 'Gov_Bonds', 'PPF']",Debentures,Gov_Bonds,PPF,15,Medium-term,Aligned
Female,31,Yes,2,4,7,6,3,1,5,Yes,Returns,Capital Appreciation,Wealth Creation,3-5 years,Monthly,20%-30%,Fixed Deposits,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Fixed Returns,Financial Consultants,False,31-35,6,Moderate,1,"['PPF', 'Mutual_Funds', 'Fixed_Deposits']",PPF,Mutual_Funds,Fixed_Deposits,25,Medium-term,Aligned
Male,27,Yes,2,4,7,5,1,3,6,Yes,Returns,Capital Appreciation,Wealth Creation,3-5 years,Monthly,30%-40%,Equity,Health Care,Capital Appreciation,Fund Diversification,Assured Returns,Fixed Returns,Newspapers and Magazines,False,26-30,6,Moderate,1,"['Fixed_Deposits', 'Mutual_Funds', 'PPF']",Fixed_Deposits,Mutual_Funds,PPF,35,Medium-term,Aligned
Male,26,Yes,2,3,6,4,1,5,7,Yes,Returns,Capital Appreciation,Returns,1-3 years,Monthly,20%-30%,Fixed Deposits,Education,Dividend,Better Returns,Safe Investment,Risk Free,Newspapers and Magazines,False,26-30,7,Aggressive,1,"['Fixed_Deposits', 'Mutual_Funds', 'Equity']",Fixed_Deposits,Mutual_Funds,Equity,25,Medium-term,Misaligned
Male,27,Yes,2,3,6,5,4,1,7,Yes,Returns,Capital Appreciation,Wealth Creation,1-3 years,Weekly,20%-30%,Mutual Fund,Health Care,Capital Appreciation,Better Returns,Safe Investment,Fixed Returns,Financial Consultants,False,26-30,7,Aggressive,2,"['PPF', 'Mutual_Funds', 'Equity']",PPF,Mutual_Funds,Equity,25,Medium-term,Misaligned
Male,30,Yes,1,4,6,5,3,2,7,Yes,Risk,Growth,Wealth Creation,3-5 years,Monthly,20%-30%,Fixed Deposits,Health Care,Capital Appreciation,Better Returns,Assured Returns,Fixed Returns,Financial Consultants,False,26-30,6,Moderate,1,"['Mutual_Funds', 'PPF', 'Fixed_Deposits']",Mutual_Funds,PPF,Fixed_Deposits,25,Medium-term,Aligned
Male,30,Yes,2,4,7,5,1,3,6,Yes,Returns,Capital Appreciation,Wealth Creation,1-3 years,Monthly,20%-30%,Equity,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Newspapers and Magazines,False,26-30,6,Moderate,1,"['Fixed_Deposits', 'Mutual_Funds', 'PPF']",Fixed_Deposits,Mutual_Funds,PPF,25,Medium-term,Aligned
Male,25,Yes,5,4,7,6,1,2,3,Yes,Risk,Growth,Savings for Future,3-5 years,Monthly,30%-40%,Public Provident Fund,Health Care,Capital Appreciation,Better Returns,Safe Investment,Fixed Returns,Financial Consultants,False,18-25,6,Moderate,1,"['Fixed_Deposits', 'PPF', 'Gold']",Fixed_Deposits,PPF,Gold,35,Medium-term,Aligned
Male,31,Yes,2,4,7,5,3,1,6,Yes,Risk,Growth,Wealth Creation,1-3 years,Weekly,20%-30%,Equity,Health Care,Dividend,Fund Diversification,Assured Returns,Fixed Returns,Newspapers and Magazines,False,31-35,6,Moderate,2,"['PPF', 'Mutual_Funds', 'Fixed_Deposits']",PPF,Mutual_Funds,Fixed_Deposits,25,Medium-term,Aligned
Male,29,Yes,4,3,5,7,2,1,6,Yes,Returns,Capital Appreciation,Wealth Creation,3-5 years,Monthly,20%-30%,Fixed Deposits,Retirement Plan,Dividend,Better Returns,Safe Investment,Fixed Returns,Financial Consultants,False,26-30,7,Aggressive,1,"['PPF', 'Fixed_Deposits', 'Equity']",PPF,Fixed_Deposits,Equity,25,Medium-term,Misaligned
